Date,Time,Location
October 3rd,7:00PM,@ ECS
September 26th,7:00PM,VS Harding Academy
September 19th,6:45PM,VS Holy Rosary
September 12th,0:00,Bye Week
September 4th,6:00PM,VS Desoto Central
August 29th,7:15PM,@ Houston
August 22nd,7:15PM,VS St.Dominic
August 15th,6:00PM,VS Memphis Catholic (Scrimmage)
