Date,Time,Location
November 8th,7:00PM, Playoff Week
November 1st,7:00PM, VS Bartlett (Senior Night)
October 25th,7:00PM, @ Arlington
October 18th,0:00, Fall Break
October 11th,7:00PM, Vs Houston
October 4th,7:00PM, @ Cordova
September 27th,7:00PM, @ ECS
September 20th,7:00PM, VS White Station
September 13th,7:00PM, VS Southhaven (Homecoming)
September 6th,7:00PM, @ Central
August 30th,7:00PM, VS Center Hill
August 23rd,7:00PM, VS Southwind
August 16th,6:00PM, Municipal Jamboree @ CHS
