Date,Time,Location
October 31st-November 1st,TBD,1st Round of Playoffs
October 26th,9:00AM,Colllierville Maroon vs Collierville White
October 9th,7:00PM,@ Silver(GFL)
October 5th,9:00AM,@ Arlington
September 28th,9:00AM,VS Arlington
September 21st,10:30AM,@ Millington
September 14th,10:30AM,VS Silver(GFL)
September 7th,9:00AM,Colllierville Maroon vs Collierville White
August 24th,10:30AM,VS Black(GFL)
