Date,Time,Location
October 21st,6:00PM,@ Southwind(JV)
October 14th,0:00, Fall Break
October 7th,5:30PM, @ Cordova(9th and JV)
September 30th,6:00PM, VS Houston (9th and JV)
September 23th,5:30PM, VS White Station (9th and JV)
September 16th,6:00PM, @ Arlington (9th and JV)
September 9th,6:00PM, VS Bartlett (9th and JV)
August 26th,5:30PM/6:30PM, VS ECS(9th)/St.Benedict(JV)
August 16th,TBA, Municipal Jamboree @ CHS
