Date,Time,Location
October 31st-November 1st,TBD,1st Round of Playoffs
October 26th,9:00AM,Colllierville Maroon vs Collierville White
October 9th,5:30PM,@ Black(GFL)
October 5th,9:00AM,@ Millington
September 28th,9:00AM,@ Black(GFL)
September 21st,9:00AM,@ Arlington
September 14th,9:00AM,VS Black(GFL)
September 7th,9:00AM,Colllierville Maroon vs Collierville White
August 24th,9:00AM,VS Arlington
